uid,movid,sim_length,mov_length,sim_duration,mov_duration,start_ts,end_ts,consumption,legs_consumptions,emergency,scenario,recharges,start_osmid,end_osmid,start_charge,stay_charge,start_loc_type,station_recharge_amounts
10,5,0.0,5095.304386135722,1444.5677375999994,690.0,1224244099,1224245806,6860133,[6860133],0,3,0,734169420,754404923,129892776,6907224,W,[]
10,24,0.0,4165.77346991744,1596.4454592000006,1261.0,1224459677,1224460938,7688639,[7688639],0,3,0,754404923,1414035073,129939867,6860133,H,[]
10,25,0.0,8383.190865750541,3296.2883903999996,736.0,1224549982,1224550718,14915084,[14915084],0,3,0,1414035073,1754973426,129111361,0,O,[]
52,0,0.0,4299.6090102287035,1107.0286847999998,400.0,1211292980,1211293380,4888676,[4888676],0,3,0,1410935621,5257081812,136800000,0,O,[]
52,1,0.0,965.2816021261332,48.44214720000001,1012.0,1211733897,1211734909,376642,[376642],0,3,0,5257081812,1421587211,131911324,4888676,W,[]
52,2,0.0,9409.240667206035,2504.172672,2104.0,1212226140,1212228244,11624826,[11624826],0,3,0,1421587211,10032701353,136423358,376642,W,[]
52,3,0.0,3900.871430138607,2262.858768,415.0,1213540081,1213540496,10592971,[10592971],0,3,0,10032701353,35864448,125175174,0,O,[]
52,4,0.0,4534.99294274839,449.2607328000001,2905.0,1213960361,1213963266,2091757,[2091757],0,3,0,35864448,9620643061,114582203,0,O,[]
52,5,0.0,4139.411603172978,448.3802304000001,570.0,1214064483,1214065053,2606289,[2606289],0,3,0,9620643061,35864450,112490446,0,O,[]
52,1,0.0,965.2816021261332,48.44214720000001,1012.0,1214398103,1214399063,376642,[376642],0,3,0,5257081812,1421587211,109884157,26915843,W,[]
52,6,0.0,2769.981648379038,1092.4652736,470.0,1214512986,1214513456,5138545,[5138545],0,3,0,1421587211,8250970624,136423358,376642,W,[]
52,7,0.0,5449.906265381086,750.1849344000002,700.0,1215097327,1215098027,3569884,[3569884],0,3,0,8250970624,1420909526,131661455,0,O,[]
52,8,0.0,3727.089028872602,1774.6716384000001,435.0,1215608977,1215609412,7392135,[7392135],0,3,0,1420909526,9620643060,128091571,0,O,[]
52,9,0.0,4963.624475899124,1317.5434080000002,390.0,1215638525,1215638915,6234165,[6234165],0,3,0,9620643060,1817905774,120699436,0,O,[]
52,10,0.0,7227.670092471711,1544.583384,1970.0,1215751271,1215753241,7656727,[7656727],0,3,0,1817905774,1734208309,114465271,0,O,[]
52,11,0.0,7368.749374930392,343.592928,810.0,1216118828,1216122749,1651837,[1651837],0,3,0,1652481727,2174802832,106808544,0,O,[]
52,11,0.0,7368.749374930392,343.592928,810.0,1216296666,1216297476,1651837,[1651837],0,3,0,1652481727,2174802832,105156707,0,O,[]
52,11,0.0,7368.749374930392,343.592928,810.0,1216484701,1216485341,1651837,[1651837],0,3,0,1652481727,2174802832,103504870,0,O,[]
52,12,0.0,8397.36988184877,2404.742256,2500.0,1216626581,1216629081,11521083,[11521083],0,3,0,2174802832,748725492,101853033,34946967,H,[]
52,13,0.0,197.98959586511043,90.39340800000001,565.0,1216632616,1216633181,443533,[443533],0,3,0,748725492,824055759,125278917,0,O,[]
52,14,0.0,2580.3440664720215,3058.643721600001,450.0,1216875705,1216876155,15150702,[15150702],0,3,0,824055759,32618842,124835384,0,O,[]
52,15,0.0,4655.60160110435,3453.3662796000017,930.0,1216969944,1216970874,19183969,[19183969],0,3,0,32618842,294123336,109684682,0,O,[]
52,16,0.0,1918.0111075590028,2903.0685119999994,770.0,1222958042,1222958812,12274839,[12274839],0,3,0,294123336,2174802832,90500713,0,O,[]
89,0,0.0,6076.597168429732,-2,3016.0,1209604183,1209607199,-2,[],1,3,0,1360092416,7106131574,136800000,0,O,[]
89,1,0.0,19346.08087940353,899.4556224,2278.0,1209804751,1209807029,4178699,[4178699],0,3,0,7106131574,258970193,136800000,0,O,[]
89,2,0.0,13031.527778377977,2929.303083600002,3475.0,1209961795,1209962915,15204710,[15204710],0,3,0,258970193,1364164051,132621301,4178699,H,[]
